source,name,phone,address,category,city,country,company_number,incorporated_on,status,keyword,reason,date_found,contacted
overpass,27 Old Compton Street,+44 20 7183 5467,"27 Old Compton Street, London, W1D 5JP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Le Chef Masgouf,+44 20 7262 5919,"41 Connaught Street, London, W2 2BB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Les Associes,+44 20 8348 8944,"172 Park Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Dar's,+44 20 7485 9921,London,restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Curry Mahal,+44 20 8422 7976,"372 Northolt Road, Harrow, HA2 8ES",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Orpheus,+44 20 7481 1931,"26A Savage Gardens, London, EC3N 2AR",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,The Leather Uppers,+44 20 7407 0295,"15 Leathermarket Street, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Delicious by Franco,+44 20 7482 3460,"320 Kentish Town Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Centro Galego de Londres,+44 20 8964 4873,"869 Harrow Road, London, NW10 5NG",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,The Refectory,+44 20 8543 1945,London,restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Wing Sing,+44 20 8532 2883,"78 George Lane, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Sayurit Sushi,+44 20 8810 1676,"78 South Ealing Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Tas Firin,+44 7909 890634,"277 City Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Chilli Cool,+44 20 7383 3135,"15 Leigh Street, London, WC1H 9EW",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,The Pie Crust (Thai),+44 20 8534 2873,"273 High Street, London, E15 2TF",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Chaiiwala,+44 20 7625 8532,London,restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Bianca Pizzeria,+44 20 8340 5296,"419 Green Lanes, London, N4 1EY",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Lebanese Gardens,+44 20 7834 9941,"10a Vauxhall Bridge Road, London, SW1V 2SD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Thai Villa,+44 20 8869 9888,"181, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Northwood Piazza,+44 1923829670,"28 Green Lane, Northwood, HA6 2QB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Papa Bruno,+44 20 7222 4396,"47 Marsham Street, London, SW1P 3DP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,La Fortuna,+44 20 7937 8752,"32 Kensington Church Street, London, W8 4HA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Brachia,+44 20 8458 7003,"118 Golders Green Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Nino's,+44 20 8518 8503,"18 Electric Parade, London, E18 2LY",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,George's Fish & Souvlaki Bar,+44 20 8989 3970,"164 George Lane, London, E18 1AY",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Lakehouse Hungarian,+44 7711 585380,"83 High Road, London, E18 2QP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Ma Cuisine,+44 20 8332 1923,"8 Station Approach, Richmond, TW9 3QB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Hummus Bros,+44 20 7404 7079,"37-63 Southampton Row, London, WC1B 4DA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Dynasty,+44 20 8504 0475,"139 High Road, London, E18 2PA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Barnaby's,+44 20 7610 0880,"47 Lillie Road, London, SW6 1UD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Burj Al Arab,+44 20 7487 4414,"13c Crawford Street, London, W1U 6BZ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Go Bong,+44 20 7281 6620,"788 Holloway Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Wings,+44 20 8904 8326,"294 Preston Road, Harrow, HA3 0QA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Little Vietnam,+44 20 8543 7585,"1 Kingston Road, London, SW19 1JX",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Legends American Grill & Bar,+44 20 8850 7550,"90 Eltham High Street, London, SE9 1BW",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Viet Ngon,+44 20 7281 5095,"145 Stroud Green Road, London, N4 3PZ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Sajee,+44 20 8297 6452,"19 Lee High Road, London, SE13 5LD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Raffles,+44 20 7723 3159,"13 Craven Road, London, W2 3BP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Villa Rosa,+44 20 7402 2995,"9 Craven Road, London, W2 3BP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Sambal Express,+44 20 8423 4412,"253 Northolt Road, Harrow, HA2 8HS",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Maruthi Express,+44 20 8423 5000,"248A Northolt Road, Harrow, HA2 8DU",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Kebabish Original,+44 20 8551 0326,"22 High Street, Ilford, IG6 2DF",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Mumbai Ave,+44 20 8991 9145,"25 Castle Hill Parade, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Happy Family,+44 20 7735 5433,"311 Kennington Road, London, SE11 4QE",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Theo's Simple Italian,+44 20 7370 9130,"34-44 Barkston Gardens, London, SW5 0EW",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Arya Bhavan,+44 20 7839 8797,"17 Charing Cross Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Gurmani,+44 20 7018 6860,"238 Langham Road, London, N15 3NB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Masgouf,+44 20 7373 5591,"134 Cromwell Road, London, SW7 4HA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Bellavista,+44 20 7373 0200,"132 Cromwell Road, London, SW7 4HA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Valentino,+44 20 7262 4127,"179-181 Edgware Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Shaheen,+44 20 7928 8186,"215 Waterloo Road, London, SE1 8XH",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,W7 Emporium,+44 20 4537 0916,"60 Boston Road, London, W7 3TR",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Daphanie's,+44 20 7252 8666,"173 Peckham High Street, London, SE15 5SL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Quaglino's,+44 20 7930 6767,"16 Bury Street, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Megumi,+44 20 8337 2226,"358 Malden Road, Worcester Park, KT4 7NW",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Shalinoar,+44 20 8330 7885,"372 Malden Road, Worcester Park, KT4 7NL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Rosmarino,+44 20 8330 2542,"30 Church Road, Worcester Park, KT4 7RA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Sea Fare Fish & Chips,+44 20 7228 9046,"89 Northcote Road, London, SW11 6PL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Tamra,+44 20 7223 4894,"63 Northcote Road, London, SW11 1NP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Almahmud Restaurant,+44 20 8575 5522,"584 Greenford Road, Greenford, UB6 8QU",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Masala Cow,+44 20 7837 7799,"64 Caledonian Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,The Original George's Fish Bar,+44 20 8363 1133,"8 Southbury Road, Enfield, EN1 1RT",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Capital Kebab House,+44 20 7207 2274,"63 The Cut, London, SE1 8LL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Brasserie Transylvania,+44 20 8802 0866,"353 Green Lanes, London, N4 1DZ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Great Nepalese,+44 20 7388 6737,London,restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Beiteddine,+44 20 7235 3969,"8 Harriet Street, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Orsini,+44 20 7581 5553,"8a Thurloe Place, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Station 31,+44 20 8900 0173,"299-303 Harrow Road, Wembley, HA9 6BD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Bonnane,+44 20 7055 8278,"ExCeL Marina, London, E16 1AT",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,China Chef,+44 20 8890 8068,"3 Hamilton Parade, Groveley Road, Feltham, TW13 4PJ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Las Fuentes,+44 20 8763 1983,"38-40 High Street, Purley, CR8 2AA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Mekan,+44 20 8645 9375,"2 Purley Parade, Purley, CR8 2AB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,4 Locos,+44 20 8660 5200,"6-8 Russell Hill Road, Purley, CR8 2LA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Zero Quattro,+44 20 8763 8287,"4 Russell Hill Road, Purley, CR8 2LA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Adana,+44 20 7359 4911,"25-27 Green Lanes, London, N16 9BS",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Ragam,+44 20 7636 9098,"57 Cleveland Street, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Three Flames,+44 20 3638 4067,"166 High Street, Feltham, TW13 4BS",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Po Cha 포장마차,+44 7379 349552,"30 Lower Marsh, London, SE1 7RG",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Donde Carlos Restaurant,+44 20 8749 9575,"143 Goldhawk Road, London, W12 8EN",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Hamer Ethiopia,+44 20 3489 6118,"92 Goldhawk Road, London, W12 8HD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Zippy Diner,+44 20 8740 5473,"42 Goldhawk Road, London, W12 8DH",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Rostomia,+44 20 8749 7373,"40 Goldhawk Road, London, W12 8DH",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Flame Flame,+44 7741 427888,"280 Uxbridge Road, London, W12 7JA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Jerusalem Star,+44 20 8735 0320,"107 Uxbridge Road, London, W12 8NL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Red Sea,+44 20 8749 6888,"386 Uxbridge Road, London, W12 7LL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Savannah,+44 20 8743 9666,"105 Uxbridge Road, London, W12 8NL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Lahori Restaurant,+44 20 8749 6115,"426 Uxbridge Road, London, W12 0NR",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Tatar Bunar,+44 7771 013190,"152 Curtain Road, London, EC2A 3AT",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Ibérica Canary Wharf,+44 20 7636 8650,"12 Cabot Square, London, E14 4QQ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Curry House CoCo Ichibanya,+44 20 3904 5633,"17-18 Great Newport Street, London, WC2H 7JE",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Bad Egg,+44 20 3006 6222,"1 Ropemaker Street, London, EC2Y 9AW",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Grill on the Hill,+44 20 7228 2002,"89 Lavender Hill, London, SW11 5QL",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Ohba Leaf,+44 20 3515 0606,"125 Grove Road, London, E17 9BU",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Bluebells of portobello,+44 20 8906 2444,"57 The Broadway, Mill Hill",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Ruman Peri Peri,+44 20 7709 8222,"66 Cleveland Way, London, E1 4UF",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Jihwaja,+44 2075824680,"353 Kennington Lane, London, SE11 5QY",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Hassos Doner,+44 20 8348 1936,"423 Green Lanes, London, N4 1EY",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Penge Masala,+44 20 8776 8080,"75 High Street, London, SE20 7HW",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,New May Flower,+44 20 8761 0656,London,restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Masala,+44 20 7370 4483,"4a Hogarth Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,New Asia,+44 20 7373 0112,"7 Hogarth Place, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Go Po Cha,+44 20 7018 5582,"57 Baylis Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Bardhoshi Bar & Restaurant,+44 20 8341 2747,"651 Green Lanes, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Nawroz,+44 20 8341 7142,"1 Queens Parade, London, N8 0RD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Kitcho,+44 7720 811820,"57 Greenwich High Road, London, SE10 8LP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Jannah,+44 20 7739 5677,"352 Bethnal Green Road, London, E2 0AH",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Bombay Rickshaw,+44 20 8348 1648,"172 Archway Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Pizza & Grill,+44 20 3982 3374,"16A Coldharbour Lane, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Vieteat,+44 20 7404 4138,"48 Kingsway, London, WC2B 6EP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Wandle Pirates,+44 7429 317222,"Unit 4 Watermill Way, London, SW19 2RD",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Hozi,+44 20 7242 0978,"25-27 Theobalds Road, London, WC1X 8SP",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Dragon King,+44 20 7627 8001,"4 Riverlight Quay, London, SW11 8DG",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Tohbang,+44 20 7278 8674,"164 Clerkenwell Road, London, EC1R 5DU",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Coco Momo,+44 20 7589 0905,"25 Gloucester Road, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Obon Sushi,+44 20 8546 5452,"42 Richmond Road, Kingston upon Thames, KT2 5EE",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Village Masaleh,+44 20 8674 3388,"196 Norwood Road, London, SE27 9AU",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Mr Chan's Cantonese Takeaway,+44 20 8864 8863,"346 Eastcote Lane, Harrow, HA2 9AJ",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,First Choice Cafe,+44 20 8854 8131,"51-61 Hare Street, London, SE18 6NE",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Saltanat,+44 20 7476 8879,"67 Barking Road, London, E16 4HB",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Cibaeña 2 España,+44 7864265925,"481 New Cross Road, London, SE14 6TA",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,Wu,+44 20 8806 1022,London,restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
overpass,New Fortune Cookie,+44 20 7727 7260,"1 Queensway, London",restaurant,London,GB,,,,,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27,no
