name,phone,address,category,city,country,reason,date_found
Maruthi Express,+44 20 8423 5000,"248A Northolt Road, Harrow, HA2 8DU",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Kebabish Original,+44 20 8551 0326,"22 High Street, Ilford, IG6 2DF",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Mumbai Ave,+44 20 8991 9145,"25 Castle Hill Parade, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Happy Family,+44 20 7735 5433,"311 Kennington Road, London, SE11 4QE",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Theo's Simple Italian,+44 20 7370 9130,"34-44 Barkston Gardens, London, SW5 0EW",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Arya Bhavan,+44 20 7839 8797,"17 Charing Cross Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Gurmani,+44 20 7018 6860,"238 Langham Road, London, N15 3NB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Masgouf,+44 20 7373 5591,"134 Cromwell Road, London, SW7 4HA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Bellavista,+44 20 7373 0200,"132 Cromwell Road, London, SW7 4HA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Valentino,+44 20 7262 4127,"179-181 Edgware Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Shaheen,+44 20 7928 8186,"215 Waterloo Road, London, SE1 8XH",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
W7 Emporium,+44 20 4537 0916,"60 Boston Road, London, W7 3TR",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Daphanie's,+44 20 7252 8666,"173 Peckham High Street, London, SE15 5SL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Quaglino's,+44 20 7930 6767,"16 Bury Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Megumi,+44 20 8337 2226,"358 Malden Road, Worcester Park, KT4 7NW",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Shalinoar,+44 20 8330 7885,"372 Malden Road, Worcester Park, KT4 7NL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Rosmarino,+44 20 8330 2542,"30 Church Road, Worcester Park, KT4 7RA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Sea Fare Fish & Chips,+44 20 7228 9046,"89 Northcote Road, London, SW11 6PL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Tamra,+44 20 7223 4894,"63 Northcote Road, London, SW11 1NP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Almahmud Restaurant,+44 20 8575 5522,"584 Greenford Road, Greenford, UB6 8QU",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Masala Cow,+44 20 7837 7799,"64 Caledonian Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
The Original George's Fish Bar,+44 20 8363 1133,"8 Southbury Road, Enfield, EN1 1RT",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Capital Kebab House,+44 20 7207 2274,"63 The Cut, London, SE1 8LL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Brasserie Transylvania,+44 20 8802 0866,"353 Green Lanes, London, N4 1DZ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Great Nepalese,+44 20 7388 6737,London,restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Beiteddine,+44 20 7235 3969,"8 Harriet Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Orsini,+44 20 7581 5553,"8a Thurloe Place, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Station 31,+44 20 8900 0173,"299-303 Harrow Road, Wembley, HA9 6BD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Bonnane,+44 20 7055 8278,"ExCeL Marina, London, E16 1AT",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
China Chef,+44 20 8890 8068,"3 Hamilton Parade, Groveley Road, Feltham, TW13 4PJ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Las Fuentes,+44 20 8763 1983,"38-40 High Street, Purley, CR8 2AA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Mekan,+44 20 8645 9375,"2 Purley Parade, Purley, CR8 2AB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
4 Locos,+44 20 8660 5200,"6-8 Russell Hill Road, Purley, CR8 2LA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Zero Quattro,+44 20 8763 8287,"4 Russell Hill Road, Purley, CR8 2LA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Adana,+44 20 7359 4911,"25-27 Green Lanes, London, N16 9BS",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Ragam,+44 20 7636 9098,"57 Cleveland Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Three Flames,+44 20 3638 4067,"166 High Street, Feltham, TW13 4BS",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Po Cha 포장마차,+44 7379 349552,"30 Lower Marsh, London, SE1 7RG",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Donde Carlos Restaurant,+44 20 8749 9575,"143 Goldhawk Road, London, W12 8EN",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Hamer Ethiopia,+44 20 3489 6118,"92 Goldhawk Road, London, W12 8HD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Zippy Diner,+44 20 8740 5473,"42 Goldhawk Road, London, W12 8DH",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Rostomia,+44 20 8749 7373,"40 Goldhawk Road, London, W12 8DH",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Flame Flame,+44 7741 427888,"280 Uxbridge Road, London, W12 7JA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Jerusalem Star,+44 20 8735 0320,"107 Uxbridge Road, London, W12 8NL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Red Sea,+44 20 8749 6888,"386 Uxbridge Road, London, W12 7LL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Savannah,+44 20 8743 9666,"105 Uxbridge Road, London, W12 8NL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Lahori Restaurant,+44 20 8749 6115,"426 Uxbridge Road, London, W12 0NR",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Tatar Bunar,+44 7771 013190,"152 Curtain Road, London, EC2A 3AT",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Ibérica Canary Wharf,+44 20 7636 8650,"12 Cabot Square, London, E14 4QQ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Curry House CoCo Ichibanya,+44 20 3904 5633,"17-18 Great Newport Street, London, WC2H 7JE",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Bad Egg,+44 20 3006 6222,"1 Ropemaker Street, London, EC2Y 9AW",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Grill on the Hill,+44 20 7228 2002,"89 Lavender Hill, London, SW11 5QL",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Ohba Leaf,+44 20 3515 0606,"125 Grove Road, London, E17 9BU",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Bluebells of portobello,+44 20 8906 2444,"57 The Broadway, Mill Hill",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Ruman Peri Peri,+44 20 7709 8222,"66 Cleveland Way, London, E1 4UF",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Jihwaja,+44 2075824680,"353 Kennington Lane, London, SE11 5QY",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Hassos Doner,+44 20 8348 1936,"423 Green Lanes, London, N4 1EY",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Penge Masala,+44 20 8776 8080,"75 High Street, London, SE20 7HW",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
New May Flower,+44 20 8761 0656,London,restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Masala,+44 20 7370 4483,"4a Hogarth Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
New Asia,+44 20 7373 0112,"7 Hogarth Place, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Go Po Cha,+44 20 7018 5582,"57 Baylis Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Bardhoshi Bar & Restaurant,+44 20 8341 2747,"651 Green Lanes, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Nawroz,+44 20 8341 7142,"1 Queens Parade, London, N8 0RD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Kitcho,+44 7720 811820,"57 Greenwich High Road, London, SE10 8LP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Jannah,+44 20 7739 5677,"352 Bethnal Green Road, London, E2 0AH",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Bombay Rickshaw,+44 20 8348 1648,"172 Archway Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Pizza & Grill,+44 20 3982 3374,"16A Coldharbour Lane, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Vieteat,+44 20 7404 4138,"48 Kingsway, London, WC2B 6EP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Wandle Pirates,+44 7429 317222,"Unit 4 Watermill Way, London, SW19 2RD",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Hozi,+44 20 7242 0978,"25-27 Theobalds Road, London, WC1X 8SP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Dragon King,+44 20 7627 8001,"4 Riverlight Quay, London, SW11 8DG",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Tohbang,+44 20 7278 8674,"164 Clerkenwell Road, London, EC1R 5DU",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Coco Momo,+44 20 7589 0905,"25 Gloucester Road, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Obon Sushi,+44 20 8546 5452,"42 Richmond Road, Kingston upon Thames, KT2 5EE",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Village Masaleh,+44 20 8674 3388,"196 Norwood Road, London, SE27 9AU",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Mr Chan's Cantonese Takeaway,+44 20 8864 8863,"346 Eastcote Lane, Harrow, HA2 9AJ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
First Choice Cafe,+44 20 8854 8131,"51-61 Hare Street, London, SE18 6NE",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Saltanat,+44 20 7476 8879,"67 Barking Road, London, E16 4HB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Cibaeña 2 España,+44 7864265925,"481 New Cross Road, London, SE14 6TA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Wu,+44 20 8806 1022,London,restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
New Fortune Cookie,+44 20 7727 7260,"1 Queensway, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Cha Kee,+44 7899 547 405,"347 North End Road, London, SW6 1NN",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Il Conte,+44 20 7434 1823,"17 Air Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Honesto,+44 20 7287 1318,"84 Brewer Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Tiwa 'N' Tiwa,+44 20 3737 5331,"34b Peckham High Street, London, SE15 5DP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Thai Venue,+44 20 8763 9626,"200 Brighton Road, Coulsdon, CR5 2NF",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Osteria Del Portico,+44 20 8840 3297,"7A The Green, London, W5 5DA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Empire Lounge,+44 20 7358 1745,"777-787 Old Kent Road, London, SE15 1NZ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
L'Autre,+44 20 7499 4680,"5b Shepherd Street, London, W1J 7HP",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Manos Grill,+44 20 8966 4140,"1026 Harrow Road, London, NW10 5NN",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Cous Cous Cafe,+44 20 7727 6597,"7 Porchester Gardens, London, W2 4DB",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Noodles City,+44 20 7277 2020,"21-22 Camberwell Green, London, SE5 7AA",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Watandar,+44 20 8690 4238,"377 Lewisham High Street, London, SE13 6NZ",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Arbil City,+44 20 7624 4462,"185 Kilburn High Road, London, NW6 7HY",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Roti and Spice,+44 20 8364 0565,"752 Green Lanes, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Al-Dhiyafa,+44 20 7723 2797,"228 Edgware Road, London, W2 1DW",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Nala,+44 20 7287 5274,"1 Lower John Street, London",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
Conrad's Kitchen,+44 20 3720 7641,"197 Lea Bridge Road, London, E10 7PN",restaurant,London,GB,No website listed on OpenStreetMap for this restaurant - potential web design / marketing lead.,2026-08-27
